0,Spider-Man,https://www.imdb.com/title/tt5807780/?ref_=adv_li_tt,2018,T,9.2,"20,759","When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",True,True,False,False,False,True,False,False,False
1,"Red Dead Redemption II",https://www.imdb.com/title/tt6161168/?ref_=adv_li_tt,2018,M,9.7,"35,703","Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",True,True,False,True,False,False,False,False,False
2,"Grand Theft Auto V",https://www.imdb.com/title/tt2103188/?ref_=adv_li_tt,2013,M,9.5,"59,986","Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.",True,False,False,True,False,False,False,False,False
3,"God of War",https://www.imdb.com/title/tt5838588/?ref_=adv_li_tt,2018,M,9.6,"26,118","After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",True,True,False,False,False,False,False,False,False
4,"Uncharted 4: A Thief's End",https://www.imdb.com/title/tt3334704/?ref_=adv_li_tt,2016,T,9.5,"28,722","Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",True,True,False,False,False,False,False,False,False
5,"The Last of Us: Part II",https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt,2020,M,8.5,"30,460","Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.",True,True,False,False,False,False,False,False,False
6,"Horizon Forbidden West",https://www.imdb.com/title/tt12496904/?ref_=adv_li_tt,2022,T,9.2,"2,979","Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.",True,True,False,False,False,False,True,False,False
7,"The Last of Us",https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt,2013,M,9.7,"60,590","In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",True,True,False,False,False,False,False,False,False
8,"Detroit: Become Human",https://www.imdb.com/title/tt5158314/?ref_=adv_li_tt,2018,M,9.2,"16,907","Take control of three androids in their quest to discover who they really are.",True,True,False,False,False,False,False,False,False
9,"Death Stranding",https://www.imdb.com/title/tt5807606/?ref_=adv_li_tt,2019,M,8.8,"8,136","Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.",True,True,False,False,False,False,False,False,False
